review
"Barangnya bagus banget, sesuai foto dan pengiriman cepat!"
"Kualitas produk jelek, baru dipakai sehari sudah rusak."
"Pelayanan ramah, tapi pengiriman agak lama."
"Sangat puas dengan produk ini, recommended!"
"Produk tidak sesuai deskripsi, kecewa berat."
"Packing rapi, barang sesuai pesanan, terima kasih seller."
"Barang datang dalam kondisi rusak dan penjual tidak responsif."
"Harga sepadan dengan kualitas, akan beli lagi di sini."
"Ukuran tidak sesuai chart, agak mengecewakan."
"Pengiriman super cepat, seller fast response, mantap!"
